"Site","Name","Last Logon","OperatingSystem","DistinguishedName"
"","ONSSI-MO-WS1","4/14/2017 3:18:03 AM","Windows 7 Professional","CN=ONSSI-MO-WS1,OU=ONSSI,DC=smusd,DC=local"
"","SERVER-BOX","12/1/2016 1:25:54 PM","Windows Server 2008 R2 Standard","CN=SERVER-BOX,OU=Servers,DC=smusd,DC=local"
"","SERVER-TEST","12/1/2016 1:20:47 PM","Windows Server 2008 R2 Standard","CN=SERVER-TEST,OU=Servers,DC=smusd,DC=local"
"","SMUSD-PM","12/16/2016 9:50:14 AM","Windows Server 2008 R2 Standard","CN=SMUSD-PM,OU=Servers,DC=smusd,DC=local"
"","SMUSDVC02","12/31/2016 7:15:21 PM","Windows Server 2008 R2 Standard","CN=SMUSDVC02,OU=Servers,DC=smusd,DC=local"
"","SMUSD-WEBWORKS","6/21/2017 2:14:51 PM","Windows Server 2003","CN=SMUSD-WEBWORKS,OU=Servers,DC=smusd,DC=local"
"","TOHS-VM-WDS","1/19/2017 8:54:02 AM","Windows Server 2008 R2 Enterprise","CN=TOHS-VM-WDS,OU=Servers,DC=smusd,DC=local"
"","WIN7","9/7/2016 9:41:57 AM","Windows 7 Enterprise","CN=WIN7,CN=Users,DC=smusd,DC=local"
"AD","ADES-44-818551","8/18/2017 8:42:26 AM","Windows 7 Enterprise","CN=ADES-44-818551,OU=Special Ed,OU=Support Staff,OU=PCs,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806445","8/17/2017 10:30:44 AM","Windows 7 Enterprise","CN=ADES-LT-806445,OU=Classrooms,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806454","8/17/2017 10:21:19 AM","Windows 7 Enterprise","CN=ADES-LT-806454,OU=Classrooms,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"ATP","ATC-08-814053","3/27/2017 7:23:54 AM","Windows 7 Enterprise","CN=ATC-08-814053,OU=Systems,OU=ATP,OU=SMUSD,DC=smusd,DC=local"
"ATP","ATP-LT-813768","9/9/2016 8:33:36 AM","Windows 7 Enterprise","CN=ATP-LT-813768,OU=Systems,OU=ATP,OU=SMUSD,DC=smusd,DC=local"
"CES","CES-DT-827812","8/16/2017 12:36:56 PM","Windows 10 Enterprise","CN=CES-DT-827812,OU=PCs,OU=Systems,OU=CES,OU=SMUSD,DC=smusd,DC=local"
"CES","CES-LT-803913","8/17/2017 3:21:52 PM","Windows 7 Enterprise","CN=CES-LT-803913,OU=Student Laptops,OU=Laptops,OU=Systems,OU=CES,OU=SMUSD,DC=smusd,DC=local"
"CES","CES-TLT-827873","8/16/2017 10:55:05 AM","Windows 10 Enterprise","CN=CES-TLT-827873,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=CES,OU=SMUSD,DC=smusd,DC=local"
"CNS","CNS-RL2-LINE1","1/6/2017 7:30:39 AM","Windows 8.1 Enterprise","CN=CNS-RL2-LINE1,OU=RL,OU=PCs,OU=Systems,OU=CNS,OU=SMUSD,DC=smusd,DC=local"
"CNS","CNS-SEMS-11287","4/4/2017 7:29:58 AM","Windows 10 Enterprise","CN=CNS-SEMS-11287,OU=SEMS,OU=PCs,OU=Systems,OU=CNS,OU=SMUSD,DC=smusd,DC=local"
"CNS","CNS-WHSE-2","3/6/2017 6:48:42 AM","Windows 7 Enterprise","CN=CNS-WHSE-2,OU=M&O,OU=PCs,OU=Systems,OU=CNS,OU=SMUSD,DC=smusd,DC=local"
"CNS","SME-KIT-010301","1/17/2017 1:37:55 AM","Windows 7 Enterprise","CN=SME-KIT-010301,OU=SMES,OU=PCs,OU=Systems,OU=CNS,OU=SMUSD,DC=smusd,DC=local"
"DIS","DIS-LT-803569","8/17/2017 11:14:30 AM","Windows 7 Enterprise","CN=DIS-LT-803569,OU=Classrooms,OU=Students,OU=Laptops,OU=Systems,OU=DIS,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-BS-802937","8/17/2017 7:45:35 AM","Windows 7 Enterprise","CN=DO-BS-802937,OU=BS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CNS-010788","7/10/2017 7:02:06 AM","Windows 7 Enterprise","CN=DO-CNS-010788,OU=CNS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CPY-802437","3/6/2017 7:07:10 AM","Windows 7 Enterprise","CN=DO-CPY-802437,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CUR-718963","3/6/2017 8:06:52 AM","Windows 7 Enterprise","CN=DO-CUR-718963,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-01","5/31/2017 1:09:52 PM","Windows 7 Enterprise","CN=DO-CW2-01,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-02","5/31/2017 2:11:29 PM","Windows 7 Enterprise","CN=DO-CW2-02,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-03","5/31/2017 9:03:49 AM","Windows 7 Enterprise","CN=DO-CW2-03,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-04","8/16/2017 8:34:25 AM","Windows 7 Enterprise","CN=DO-CW2-04,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-05","5/22/2017 1:04:49 PM","Windows 10 Enterprise","CN=DO-CW2-05,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-06","5/31/2017 1:05:09 PM","Windows 7 Enterprise","CN=DO-CW2-06,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-07","5/31/2017 8:41:44 AM","Windows 7 Enterprise","CN=DO-CW2-07,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-08","5/31/2017 1:11:54 PM","Windows 7 Enterprise","CN=DO-CW2-08,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-09","8/7/2017 8:15:17 AM","Windows 7 Enterprise","CN=DO-CW2-09,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-10","8/7/2017 8:07:32 AM","Windows 7 Enterprise","CN=DO-CW2-10,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-14","5/19/2017 11:32:52 AM","Windows 7 Enterprise","CN=DO-CW2-14,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-16","3/3/2017 1:29:31 PM","Windows 7 Enterprise","CN=DO-CW2-16,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-17","5/19/2017 11:28:49 AM","Windows 7 Enterprise","CN=DO-CW2-17,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-19","5/31/2017 8:41:36 AM","Windows 7 Enterprise","CN=DO-CW2-19,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-20","8/8/2017 8:02:31 AM","Windows 7 Enterprise","CN=DO-CW2-20,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-21","5/31/2017 1:08:24 PM","Windows 7 Enterprise","CN=DO-CW2-21,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-22","5/19/2017 11:29:27 AM","Windows 7 Enterprise","CN=DO-CW2-22,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
